Process Reference,CAPEX,Currency,Plant size [kg H2O/hour],Reference Year,Country,Scaling factor,Balance of plant costs/Overall installation factor,Comments,Reference,Reference_label,Ignore,doi
Dryer,184779.8967,USD,53.16,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,197440.6528,USD,176.87,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,263909.4955,USD,220.83,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,390516.7667,USD,220.83,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,506045.9941,USD,177.89,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,540862.9828,USD,176.87,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,379438.6504,USD,336.36,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,273405.0445,USD,352.72,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,328795.6985,USD,440.64,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,487054.8961,USD,440.64,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,433246.7371,USD,613.42,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,589923.2949,USD,734.06,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Dryer,752930.2671,USD,734.06,2008,USA,,,Data extracted from figure 3 b). Dryer size estimated based on 7200 operating hours/year and a 4% moisture reduction during drying as quoted in the paper.,"Sultana et al., 2010, ""Development of agri-pellet production cost and optimum size""",Sultana et al. (2010),,10.1016/j.biortech.2010.02.011
Vulcan drying systems dryer,375000,USD,1320.8,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. Reconditioned system - new system is 30-35% more expensive.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
Vulcan drying systems dryer,440000,USD,2641.6,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. Reconditioned system - new system is 30-35% more expensive.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
Vulcan drying systems dryer,495000,USD,5283.2,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. Reconditioned system - new system is 30-35% more expensive.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
Vulcan drying systems dryer,654000,USD,6604,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. Reconditioned system - new system is 30-35% more expensive.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
Vulcan drying systems dryer,506250,USD,1320.8,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. New system - 35% more expensive than reconditioned system.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
Vulcan drying systems dryer,594000,USD,2641.6,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. New system - 35% more expensive than reconditioned system.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
Vulcan drying systems dryer,668250,USD,5283.2,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. New system - 35% more expensive than reconditioned system.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
Vulcan drying systems dryer,882900,USD,6604,2023,USA,,,Data kindly provided by Skyler Everts from Vulcan Drying Systems. Size estimated based on a reference hemp drying systems which reduces moisture from 75% to 10%. New system - 35% more expensive than reconditioned system.,"Personal Communications with Skyler Everts from Vulcan Drying Systems, September 2023",Vulcan Drying Systems (2023),,
